trait_abbrev	study_name	trait_full	phenotype_group
WHipRatio	ieu-b-4829	Waist-hip ratio	Metabolic & Endocrine
WtChg1Y	ukb-a-263	Weight change compared with 1 year ago	Metabolic & Endocrine
Age1stBth	ieu-b-4819	Age at first birth	Reproductive & Hormonal
AgeMenar	ieu-b-4822	Age at menarche	Reproductive & Hormonal
AgeMenop	ieu-b-4824	Age at menopause	Reproductive & Hormonal
BirthLen	ieu-a-29	Birth length	Reproductive & Hormonal
BirthWt	ukb-a-198	Birth weight	Reproductive & Hormonal
Body10Y	ukb-b-4650	Comparative body size at age 10	Reproductive & Hormonal
BreastFd	ukb-b-13423	Breastfed as a baby	Reproductive & Hormonal
BrthFem	ukb-b-338	Sex of baby: Female	Reproductive & Hormonal
BrthMale	ukb-b-17514	Sex of baby: Male	Reproductive & Hormonal
Bwt1stC	ukb-b-3357	Birth weight of first child	Reproductive & Hormonal
ExtremHt	ieu-a-86	Extreme height	Reproductive & Hormonal
FaceHrAge	ukb-b-5945	Relative age of first facial hair	Reproductive & Hormonal
HtAdoAdu	ieu-a-1040	Difference in height between adolescence and adulthood	Reproductive & Hormonal
HtChdAdu	ieu-a-1037	Difference in height between childhood and adulthood	Reproductive & Hormonal
InfHC	ieu-a-28	Infant head circumference	Reproductive & Hormonal
MenstrLn	ukb-a-351	Length of menstrual cycle	Reproductive & Hormonal
NumChild_27	ieu-b-4827	Number of children ever born measurement	Reproductive & Hormonal
NumChild_60	ieu-b-4760	Number of children	Reproductive & Hormonal
OophBilat	ukb-b-17868	Bilateral oophorectomy (both ovaries removed)	Reproductive & Hormonal
PlasCort	ieu-a-1012	Plasma cortisol	Reproductive & Hormonal
Testost	ukb-d-30850_irnt	Testosterone	Reproductive & Hormonal
UsedHRT	ukb-b-18541	Ever used hormone-replacement therapy (HRT)	Reproductive & Hormonal
VoiceAge	ukb-b-5262	Relative age voice broke	Reproductive & Hormonal
Cataract	ukb-b-8329	Eye problems/disorders: Cataract	Sensory & Eye Health
CornHys	ukb-b-11480	Corneal hysteresis (right)	Sensory & Eye Health
CornRes	ukb-b-15178	Corneal resistance factor (right)	Sensory & Eye Health
EyeOthr	ukb-b-10066	Eye problems/disorders: Other serious eye condition	Sensory & Eye Health
EyeProb	ukb-b-7007	Other eye problems	Sensory & Eye Health
EyeTraum	ukb-b-9050	Eye problems/disorders: Injury or trauma resulting in loss of vision	Sensory & Eye Health
Glasses	ukb-b-14576	Wears glasses or contact lenses	Sensory & Eye Health
Glaucoma	ukb-b-17324	Eye problems/disorders: Glaucoma	Sensory & Eye Health
HearAid	ukb-a-340	Hearing aid user	Sensory & Eye Health
HearDiff	ukb-a-257	Hearing difficulty/problems: Yes	Sensory & Eye Health
Longsight	ukb-b-18189	Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia')	Sensory & Eye Health
MaculDeg	ukb-b-17194	Eye problems/disorders: Macular degeneration	Sensory & Eye Health
OccuPrCC	ukb-b-19277	Intra-ocular pressure, corneal-compensated (right)	Sensory & Eye Health
OccuPrGR	ukb-b-14146	Intra-ocular pressure, Goldmann-correlated (right)	Sensory & Eye Health
Shortsight	ukb-b-6353	Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')	Sensory & Eye Health
SphPwr_R	ukb-b-19994	Spherical power (right)	Sensory & Eye Health
TinnitNo	ukb-d-4803_0	Tinnitus: No, never	Sensory & Eye Health
ChronoTy	ieu-a-1087	Chronotype	Sleep & Circadian Rhythm
Insomnia	ukb-a-13	Sleeplessness / insomnia	Sleep & Circadian Rhythm
MornEve	ukb-a-11	Morning/evening person (chronotype)	Sleep & Circadian Rhythm
NapDay	ukb-a-12	Nap during day	Sleep & Circadian Rhythm
Narcolep	ukb-a-15	Daytime dozing / sleeping (narcolepsy)	Sleep & Circadian Rhythm
SleepAp	ukb-b-16781	Diagnoses - main ICD10: G47.3 Sleep apnoea	Sleep & Circadian Rhythm
SleepDis	ukb-a-527	Diagnoses - main ICD10: G47 Sleep disorders	Sleep & Circadian Rhythm
SleepDur	ukb-a-9	Sleep duration	Sleep & Circadian Rhythm
WakeUp	ukb-a-10	Getting up in morning	Sleep & Circadian Rhythm
Cannabis	ukb-d-20453	Ever taken cannabis	Lifestyle & Behavior
